ThreadsPerBlock,Blocks,AvgTimeMs
692,10,0.020632
693,10,0.020613
694,10,0.020616
695,9,0.020591
696,9,0.020541
697,9,0.020493
698,9,0.020475
699,9,0.020424
700,9,0.020461
701,9,0.020417
702,9,0.020454
703,9,0.020441
704,9,0.020420
705,9,0.020484
706,9,0.020478
707,9,0.020441
708,9,0.020421
709,9,0.020451
710,9,0.020520
711,9,0.020459
712,9,0.020424
713,9,0.020433
714,9,0.020404
715,9,0.020402
716,9,0.020364
717,9,0.020419
718,9,0.020515
719,9,0.020413
720,9,0.020410
721,9,0.020421
722,9,0.020425
723,9,0.020398
724,9,0.020361
725,9,0.020395
726,9,0.020419
727,9,0.020451
728,9,0.020485
729,9,0.020541
730,9,0.020540
731,9,0.020542
732,9,0.020493
733,9,0.020587
734,9,0.020631
735,9,0.020727
736,9,0.020706
737,9,0.020964
738,9,0.020917
739,9,0.020957
740,9,0.021036
741,9,0.021078
742,9,0.021153
743,9,0.021156
744,9,0.021177
745,9,0.021168
746,9,0.021244
747,9,0.021251
748,9,0.021320
749,9,0.021382
750,9,0.021487
751,9,0.021586
752,9,0.021550
753,9,0.021613
754,9,0.021616
755,9,0.021658
756,9,0.021670
757,9,0.021538
758,9,0.021618
759,9,0.021681
760,9,0.021538
761,9,0.021563
762,9,0.021594
763,9,0.021553
764,9,0.021549
765,9,0.021484
766,9,0.021475
767,9,0.021556
768,9,0.021436
769,9,0.021603
770,9,0.021661
771,9,0.021675
772,9,0.021768
773,9,0.021791
774,9,0.021768
775,9,0.021794
776,9,0.021665
777,9,0.021706
778,9,0.021686
779,9,0.021784
780,9,0.021846
781,9,0.021775
782,8,0.022569
783,8,0.021772
784,8,0.021741
785,8,0.021813
786,8,0.021671
787,8,0.021603
788,8,0.021604
789,8,0.021574
790,8,0.021529
791,8,0.021548
792,8,0.021480
793,8,0.021455
794,8,0.021413
795,8,0.021379
796,8,0.021387
797,8,0.021381
798,8,0.021444
799,8,0.021453
800,8,0.021333
801,8,0.021596
802,8,0.021518
803,8,0.021433
804,8,0.021514
805,8,0.021508
806,8,0.021625
807,8,0.021607
808,8,0.021679
809,8,0.021784
810,8,0.021776
811,8,0.021745
812,8,0.021553
813,8,0.021624
814,8,0.021676
815,8,0.021673
816,8,0.021713
817,8,0.021631
818,8,0.021558
819,8,0.021552
820,8,0.021593
821,8,0.021561
822,8,0.021525
823,8,0.021539
824,8,0.021579
825,8,0.021620
826,8,0.021651
827,8,0.021561
828,8,0.021664
829,8,0.021875
830,8,0.021781
831,8,0.021731
832,8,0.021758
833,8,0.021663
834,8,0.021564
835,8,0.021492
836,8,0.021527
837,8,0.021492
838,8,0.021492
839,8,0.021432
840,8,0.021523
841,8,0.021480
842,8,0.021500
843,8,0.021474
844,8,0.021373
845,8,0.021332
846,8,0.021449
847,8,0.021401
848,8,0.021452
849,8,0.021450
850,8,0.021562
851,8,0.021559
852,8,0.021554
853,8,0.021595
854,8,0.021629
855,8,0.021654
856,8,0.021562
857,8,0.021528
858,8,0.021512
859,8,0.021496
860,8,0.021476
861,8,0.021477
862,8,0.021618
863,8,0.021641
864,8,0.021603
865,8,0.021793
866,8,0.021741
867,8,0.021744
868,8,0.021676
869,8,0.021798
870,8,0.021784
871,8,0.021730
872,8,0.021721
873,8,0.021705
874,8,0.021604
875,8,0.021612
876,8,0.021592
877,8,0.021631
878,8,0.021623
879,8,0.021708
880,8,0.021693
881,8,0.021710
882,8,0.021810
883,8,0.021649
884,8,0.021838
885,8,0.021772
886,8,0.021751
887,8,0.021837
888,8,0.021858
889,8,0.021789
890,8,0.021802
891,8,0.021785
892,8,0.021780
893,7,0.021624
894,7,0.021795
895,7,0.021706
896,7,0.021706
897,7,0.021931
898,7,0.021910
899,7,0.021902
900,7,0.021854
901,7,0.021829
902,7,0.021823
903,7,0.021788
904,7,0.021747
905,7,0.021730
906,7,0.021714
907,7,0.021731
908,7,0.021746
909,7,0.021702
910,7,0.021751
911,7,0.021764
912,7,0.021741
913,7,0.021757
914,7,0.021767
915,7,0.021726
916,7,0.021772
917,7,0.021742
918,7,0.021740
919,7,0.021786
920,7,0.021796
921,7,0.021777
922,7,0.021795
923,7,0.021864
924,7,0.021783
925,7,0.021764
926,7,0.021815
927,7,0.021823
928,7,0.021754
929,7,0.022036
930,7,0.022017
931,7,0.022045
932,7,0.022087
933,7,0.022114
934,7,0.022164
935,7,0.022134
936,7,0.022131
937,7,0.022122
938,7,0.022171
939,7,0.022234
940,7,0.022260
941,7,0.022319
942,7,0.022543
943,7,0.022516
944,7,0.022734
945,7,0.022740
946,7,0.022824
947,7,0.022993
948,7,0.022875
949,7,0.022912
950,7,0.022960
951,7,0.022853
952,7,0.022799
953,7,0.022626
954,7,0.022625
955,7,0.022695
956,7,0.022598
957,7,0.022706
958,7,0.022646
959,7,0.022661
960,7,0.022774
961,7,0.022826
962,7,0.022890
963,7,0.022932
964,7,0.022937
965,7,0.023103
966,7,0.023141
967,7,0.023247
968,7,0.023368
969,7,0.023418
970,7,0.023483
971,7,0.023523
972,7,0.023569
973,7,0.023615
974,7,0.023531
975,7,0.023540
976,7,0.023556
977,7,0.023597
978,7,0.023674
979,7,0.023670
980,7,0.023742
981,7,0.023780
982,7,0.023786
983,7,0.023869
984,7,0.023872
985,7,0.023844
986,7,0.023908
987,7,0.023837
988,7,0.023844
989,7,0.023776
990,7,0.023836
991,7,0.023896
992,7,0.023922
993,7,0.023774
994,7,0.023833
995,7,0.023856
996,7,0.023805
997,7,0.023894
998,7,0.023907
999,7,0.023916
1000,7,0.023936
1001,7,0.023980
1002,7,0.024003
1003,7,0.024029
1004,7,0.023995
1005,7,0.024044
1006,7,0.024095
1007,7,0.024103
1008,7,0.024105
1009,7,0.024099
1010,7,0.024177
1011,7,0.024107
1012,7,0.024087
1013,7,0.024059
1014,7,0.024017
1015,7,0.024018
1016,7,0.024011
1017,7,0.023961
1018,7,0.023900
1019,7,0.023862
1020,7,0.023769
1021,7,0.023769
1022,7,0.023702
1023,7,0.023646
1024,7,0.023674
