ThreadsPerBlock,Blocks,AvgTimeMs
686,10,0.020639
687,10,0.020644
688,10,0.020642
689,10,0.020624
690,10,0.020637
691,10,0.020551
692,10,0.020591
693,10,0.020578
694,10,0.020561
695,9,0.020540
696,9,0.020516
697,9,0.020464
698,9,0.020444
699,9,0.020401
700,9,0.020416
701,9,0.020382
702,9,0.020414
703,9,0.020409
704,9,0.020380
705,9,0.020425
706,9,0.020430
707,9,0.020388
708,9,0.020377
709,9,0.020395
710,9,0.020465
711,9,0.020419
712,9,0.020399
713,9,0.020392
714,9,0.020370
715,9,0.020352
716,9,0.020351
717,9,0.020366
718,9,0.020389
719,9,0.020392
720,9,0.020402
721,9,0.020381
722,9,0.020390
723,9,0.020343
724,9,0.020353
725,9,0.020358
726,9,0.020400
727,9,0.020398
728,9,0.020454
729,9,0.020464
730,9,0.020503
731,9,0.020484
732,9,0.020511
733,9,0.020561
734,9,0.020619
735,9,0.020677
736,9,0.020697
737,9,0.020953
738,9,0.020903
739,9,0.020900
740,9,0.020965
741,9,0.021051
742,9,0.021102
743,9,0.021138
744,9,0.021115
745,9,0.021208
746,9,0.021206
747,9,0.021177
748,9,0.021262
749,9,0.021352
750,9,0.021413
751,9,0.021522
752,9,0.021480
753,9,0.021567
754,9,0.021565
755,9,0.021596
756,9,0.021601
757,9,0.021549
758,9,0.021553
759,9,0.021582
760,9,0.021565
761,9,0.021491
762,9,0.021571
763,9,0.021522
764,9,0.021520
765,9,0.021424
766,9,0.021440
767,9,0.021504
768,9,0.021386
769,9,0.021585
770,9,0.021631
771,9,0.021606
772,9,0.021699
773,9,0.021715
774,9,0.021738
775,9,0.021754
776,9,0.021667
777,9,0.021696
778,9,0.021719
779,9,0.021752
780,9,0.021811
781,9,0.021744
782,8,0.021706
783,8,0.021758
784,8,0.021738
785,8,0.021737
786,8,0.021668
787,8,0.021610
788,8,0.021588
789,8,0.021540
790,8,0.021478
791,8,0.021500
792,8,0.021465
793,8,0.021474
794,8,0.021411
795,8,0.021369
796,8,0.021368
797,8,0.021368
798,8,0.021365
799,8,0.021420
800,8,0.021313
801,8,0.021622
802,8,0.021538
803,8,0.021434
804,8,0.021552
805,8,0.021500
806,8,0.021598
807,8,0.021599
808,8,0.021661
809,8,0.021700
810,8,0.021710
811,8,0.021710
812,8,0.021596
813,8,0.021588
814,8,0.021666
815,8,0.021685
816,8,0.021590
817,8,0.021614
818,8,0.021515
819,8,0.021531
820,8,0.021533
821,8,0.021489
822,8,0.021581
823,8,0.021581
824,8,0.021551
825,8,0.021550
826,8,0.021552
